Country,Freedom (2022 1/2) Proj,Freedom (2023) Proj,Freedom (2024) Proj,Freedom (2025) Proj,Freedom (2026) Proj,Freedom (2027) Proj
Switzerland,0.6416421153335572,0.6368565384002686,0.6471138460803224,0.6525224999628296,0.6510269999553955,0.6458323999464746
Iceland,0.643434527065277,0.6463674324783323,0.6623929189739989,0.6694389757035217,0.6679267708442259,0.6579121250130711
Denmark,0.6513593444900512,0.6517552133880613,0.6662242560656738,0.6742677627887572,0.6725213153465088,0.6632255784158104
Norway,0.6630485174789428,0.6617122209747314,0.6748366651696777,0.6827194807246704,0.6820633768696045,0.6728760522435253
Canada,0.6259541824188231,0.6245510189025879,0.6347212226831054,0.6394452848009033,0.6367343417610838,0.6322812101133006
Finland,0.6495361713371276,0.6511054056045531,0.6671184867254636,0.6769520127334289,0.6761424152801147,0.6641708983361376
Netherlands,0.6084508976211548,0.6069890771453856,0.6179648925744627,0.6244809734682006,0.6217771681618407,0.6159326017942088
Sweden,0.6475808197937013,0.6451369837524414,0.6577283805029298,0.6666892368098145,0.6682270841717773,0.6570725010061328
New Zealand,0.6367824260902404,0.6362629113082885,0.6472214935699462,0.653853366193695,0.650824039432434,0.6449888473189208
Australia,0.6288434764595031,0.6243641717514039,0.6355630061016846,0.6423541308625185,0.641424957035022,0.6345099484420265
Israel,0.45689972076606755,0.46564166491928105,0.4859059979031374,0.5018894767176972,0.49566737206123657,0.48120084647348393
Costa Rica,0.6118283299942016,0.6074419959930418,0.6184803951916502,0.6261501442357786,0.6249801730829345,0.6177762076995214
Austria,0.595129237915039,0.5892890854980468,0.5984369025976561,0.6045710452021484,0.6020852542425781,0.5979023050910938
Mexico,0.4743260016727448,0.47282920200729367,0.4919770424087525,0.5078264492177582,0.5135917390613098,0.49211008687357183
United States,0.5308821046676636,0.5278505256011963,0.5370946307214355,0.5433654521980591,0.5426385426376709,0.536366251165205
Brazil,0.47423874935913074,0.4709884992309569,0.4843361990771483,0.49371268953344727,0.4938552274401366,0.4834262729281639
Ireland,0.5943920684051515,0.5897164820861817,0.5996437785034181,0.6049504657989503,0.6031405589587403,0.5983686707504884
Belgium,0.5425621444778443,0.5341745733734131,0.5383014880480956,0.5380076411798707,0.5290091694158449,0.5364110032990137
United Kingdom,0.5331600071640014,0.5205420085968017,0.524578410316162,0.5278560852153931,0.5406273022584717,0.529352762710166
Venezuela,0.23950942464828504,0.201595309577942,0.2022203714935304,0.2118650211439515,0.22763802537274178,0.21656563044729013
Singapore,0.5766121138992311,0.5834305366790773,0.6025766440148926,0.6131238589186402,0.6095486307023682,0.5970583568428418
Panama,0.5540793668022156,0.5564752401626587,0.5699162881951905,0.573894179032013,0.5692730148384155,0.5647276178060986
Germany,0.5765882768974303,0.5689519322769165,0.5758103187322998,0.5784701055813294,0.5769641266975951,0.5753569520371142
Chile,0.417421055738449,0.4126412668861388,0.41959152026336655,0.4281307685775909,0.42755692229310904,0.42106830675173085
France,0.5145904231033327,0.5074865077239992,0.515859809268799,0.5249873480192262,0.5259848176230715,0.5177817811476857
Argentina,0.4984198407802582,0.5081558089363098,0.5252189707235718,0.5313589240880281,0.5236307089056336,0.5173568506867603
Uruguay,0.603378450870514,0.6033301410446168,0.6152201692535402,0.6223857522337342,0.6218629026804811,0.6132354832165773
Colombia,0.5070994830150604,0.5015873796180724,0.512434855541687,0.519424343634964,0.5171092123619567,0.5115310548343481
Thailand,0.5772741463508606,0.5814009756210327,0.5985751707452394,0.6022500585434265,0.5953000702521118,0.5909600843025341
Saudi Arabia,0.45985411448860153,0.48972893738632195,0.5118667248635862,0.5242899553477018,0.5273479464172424,0.5026175357006908
Spain,0.43954824608993537,0.4355558953079225,0.447577074369507,0.455336243153473,0.4566034917841676,0.4469241901410011
Malta,0.6132714103393553,0.6151956924072264,0.6282468308886717,0.6361427867270507,0.6343713440724608,0.625445612886953
El Salvador,0.46712850593376165,0.4798542071205139,0.5012870485446167,0.5150539523197785,0.5258647427837342,0.49783769134048106
Uzbekistan,0.6729877325897217,0.6759432791076659,0.6894359349291992,0.6956733893253174,0.6900080671903809,0.684809680628457
Slovakia,0.3360474929180146,0.33975499150161753,0.360923989801941,0.3739452948443146,0.3779343538131775,0.35772122457581307
Japan,0.5118771091957092,0.5150225310348511,0.5245050372418213,0.5282809354944763,0.5233371225933715,0.5206045471120458
South Korea,0.29993633318138124,0.29350759981765745,0.30187311978118897,0.3106634105560455,0.32399609266725465,0.30599531120070556
Ecuador,0.49292763971138004,0.494365167653656,0.5126982011843872,0.5241982017098846,0.5178378420518616,0.508405410462234
Bahrain,0.5504833838310242,0.569596060597229,0.5887652727166748,0.5991689434289855,0.6002027321147827,0.5816432785377392
Italy,0.2800161425361634,0.28354737104339606,0.30260284525207526,0.3118332717663269,0.3179999261195923,0.29919991134351076
Bolivia,0.5750965853691102,0.5752879024429324,0.5884234829315187,0.5943615941487123,0.5920339129784546,0.5850406955741457
Moldova,0.3227858097696304,0.3217069717235565,0.3356443660682678,0.354627429512291,0.37915291541474916,0.34278349849769896
Paraguay,0.5289695583515168,0.5269654700218203,0.5398885640261841,0.5531647184799043,0.5555976621758851,0.5409171946110621
Kazakhstan,0.4794288566474914,0.4720166279769897,0.4853799535723876,0.49496508763937375,0.5031581051672485,0.48698972620069814
Slovenia,0.6061531615142822,0.6056737938171387,0.6204805525805664,0.6300615015823975,0.6294738018988769,0.6183685622786523
Lithuania,0.29658835698795316,0.3132220283855438,0.33800843406265263,0.3587637638872299,0.3605165166646759,0.3334198199976111
Nicaragua,0.5224243693008421,0.5159592431610106,0.5259870917932127,0.5416741408510132,0.5446089690212157,0.5301307628254589
Peru,0.4629965757808686,0.47260389093704236,0.49212066912445074,0.5005442271684724,0.49465307260216684,0.4845836871226002
Poland,0.5144924223175049,0.5111469067810057,0.5229962881372069,0.5235271234471435,0.5190325481365722,0.5182390577638867
Malaysia,0.4665629964923858,0.45382759579086296,0.4665311149490356,0.4793843414464568,0.5040612097357482,0.47407345168289794
Croatia,0.33373445852279665,0.34871535022735595,0.3706444202728271,0.39361884580459594,0.39634261496551515,0.36861113795861816
Russia,0.3734786223144532,0.3748163467773439,0.38441561613281267,0.38654211704492203,0.3840505404539064,0.3806606485446876
Jamaica,0.5113394478111268,0.5127233373733522,0.5280740048480226,0.5388273580065003,0.5315928296078004,0.5245113955293605
Cyprus,0.3855803078727722,0.38135236944732664,0.398608843336792,0.40730830413137814,0.4041699649576538,0.39540395794918454
Algeria,0.1904371615839004,0.1713665939006805,0.16362791268081658,0.14968633363307948,0.16422360035969538,0.16786832043163447
Kosovo,0.3397475881004334,0.3581991057205201,0.40104692686462406,0.42919872413711546,0.42543846896453863,0.39072616275744637
Mauritius,0.537271465227127,0.5325937582725524,0.5468225099270629,0.5579375466853485,0.5527250560224182,0.5454700672269018
Estonia,0.5170242860774994,0.5306531432929994,0.5537617719515991,0.5686878402644197,0.5718254083173036,0.5483904899807642
Indonesia,0.49196069264030456,0.49713083116836543,0.5180829974020386,0.5330349042421416,0.5320418850905699,0.5144502621086839
Vietnam,0.610007118221283,0.6131205418655397,0.6238366502386474,0.634392862065094,0.6376714344781128,0.6238057213737354
Turkey,0.26015611992645266,0.2665573439117431,0.2720908126940918,0.2663608553064575,0.25483302636774907,0.2639996316412988
Kyrgyzstan,0.504966677740097,0.5190060132881164,0.5423832159457397,0.5598711813947906,0.5638454176737487,0.5380145012084985
Nigeria,0.384566513086319,0.3928118157035828,0.41566617884429935,0.4198089015268402,0.41137068183220826,0.4048448181986499
Pakistan,0.256891052315712,0.28406526277885435,0.31163431533462527,0.32691812608583837,0.32550175130300596,0.3010021015636072
Jordan,0.425852229850769,0.42970067582092286,0.4435948109851074,0.44862954333135985,0.44475545199763183,0.43850654239715825
Montenegro,0.24953981107902523,0.26292777329483025,0.2852913279537963,0.3033517824655304,0.3122221389586365,0.2826665667503637
China,0.5365755416088105,0.5404966499305723,0.5605719799166871,0.578128834291214,0.5743546011494567,0.5580255213793481
Zambia,0.4808986984996796,0.47942443819961555,0.48998532583953863,0.4956616925077668,0.49419403100932013,0.4880328372111841
Romania,0.46156074849128714,0.48373689818954463,0.5070602778274536,0.517071584901657,0.5148859018819885,0.49686308225838616
Serbia,0.2801931056499482,0.2960177267799379,0.32378527213592545,0.3467992209131623,0.35855906509579477,0.3210708781149537
Portugal,0.5354850599212646,0.5396440719055177,0.5581188862866211,0.5700496036226808,0.5716595243472169,0.5549914292166601
Latvia,0.35347558248901356,0.3648286989868163,0.3818024387841796,0.39302134405200195,0.3990256128624023,0.3784307354348827
Philippines,0.6160409348945617,0.6141591218734741,0.627282946248169,0.635696600603241,0.6342359207238891,0.6254831048686669
Morocco,0.4067056664218902,0.40466479970626823,0.43430575964752194,0.4395352451551361,0.43544229418616326,0.42413075302339587
