Index,Country,Economy (2015),Economy (2016),Economy (2017),Economy (2018),Economy (2019),Economy (2022)
0,Switzerland,1.3965100000000001,1.5273299999999999,1.5649795532226598,1.42,1.452,2.026
1,Iceland,1.3023200000000001,1.42666,1.480633020401,1.3430000000000002,1.38,1.936
2,Denmark,1.32548,1.4417799999999998,1.48238301277161,1.351,1.383,1.953
3,Norway,1.459,1.57744,1.6164631843566901,1.456,1.4880000000000002,1.9969999999999999
4,Canada,1.32629,1.44015,1.47920441627502,1.33,1.365,1.886
5,Finland,1.29025,1.40598,1.44357192516327,1.305,1.34,1.892
6,Netherlands,1.32944,1.46468,1.50394463539124,1.361,1.396,1.945
7,Sweden,1.33171,1.45181,1.49438726902008,1.355,1.3869999999999998,1.92
8,New Zealand,1.2501799999999998,1.36066,1.40570604801178,1.268,1.3030000000000002,1.8519999999999999
9,Australia,1.33358,1.4444299999999999,1.4844149351120002,1.34,1.3719999999999999,1.9
10,Israel,1.2285700000000002,1.33766,1.3753824234008798,1.301,1.276,1.8259999999999998
11,Costa Rica,0.95578,1.06879,1.10970628261566,1.01,1.034,1.584
12,Austria,1.33723,1.45038,1.4870972633361799,1.341,1.376,1.931
13,Mexico,1.02054,1.1150799999999998,1.1531838178634601,1.038,1.07,1.5519999999999998
14,United States,1.3945100000000001,1.50796,1.54625928401947,1.3980000000000001,1.433,1.982
15,Brazil,0.98124,1.08754,1.1073532104492199,0.986,1.004,1.462
17,Ireland,1.33596,1.4834100000000001,1.5357066392898602,1.4480000000000002,1.499,2.129
18,Belgium,1.30782,1.42539,1.4637807607650801,1.324,1.3559999999999999,1.9069999999999998
19,United Arab Emirates,1.42727,1.57352,1.6263433694839498,2.096,1.5030000000000001,1.9980000000000002
20,United Kingdom,1.26637,1.40283,1.44163393974304,1.244,1.3330000000000002,1.867
21,Venezuela,1.04424,1.1336700000000002,1.12843120098114,0.996,0.96,0.0
22,Singapore,1.52186,1.64555,1.69227766990662,1.5290000000000001,1.5719999999999998,2.149
23,Panama,1.0635299999999999,1.18306,1.23374843597412,1.112,1.149,1.715
24,Germany,1.32792,1.44787,1.48792338371277,1.34,1.3730000000000002,1.9240000000000002
25,Chile,1.10715,1.2167,1.25278460979462,1.131,1.159,1.651
27,France,1.27778,1.39488,1.43092346191406,1.2930000000000001,1.324,1.8630000000000002
28,Argentina,1.05351,1.15137,1.18529546260834,1.073,1.092,1.5919999999999999
30,Uruguay,1.06166,1.18157,1.2175596952438401,1.093,1.124,1.615
31,Colombia,0.91861,1.0303200000000001,1.07062232494354,0.96,0.985,1.452
32,Thailand,0.9669,1.0893,1.12786877155304,1.016,1.05,1.535
33,Saudi Arabia,1.39541,1.48953,1.53062355518341,1.379,1.403,1.87
