Country,Generosity (2022 1/2) Proj,Generosity (2023) Proj,Generosity (2024) Proj,Generosity (2025) Proj,Generosity (2026) Proj,Generosity (2027) Proj
Switzerland,0.2542318556518554,0.2457222267822265,0.2387006721386718,0.22833095091455075,0.22279714109746088,0.2379565693169531
Iceland,0.4023240441474914,0.3955288529769897,0.3792786235723876,0.36002630413937375,0.3614315649672485,0.3797178779606982
Denmark,0.30607609774589545,0.2990133172950745,0.28647398075408936,0.2727126791590119,0.27045521499081426,0.2869462579889771
Norway,0.318190447462082,0.31243053695449846,0.2991266443453981,0.28654952575239573,0.2866594309028749,0.3005913170834499
Canada,0.3759979444885254,0.35957553338623055,0.34182264006347657,0.3230792235876465,0.32349506830517577,0.344794081966211
Finland,0.208982554517746,0.2040770654212952,0.19390847850555423,0.1835936196889191,0.1799123436267029,0.19409481235204348
Netherlands,0.4049499659557342,0.390719959146881,0.37403195097625724,0.35474037521577456,0.35908845025892944,0.3767061403107153
Sweden,0.32671185043525697,0.3195302205223084,0.30692826462677003,0.29123406711686706,0.29248088054024046,0.3073770566482886
New Zealand,0.4158050251998902,0.4039640302398683,0.3859548362878419,0.36314477834552006,0.36277373401462415,0.386328480817549
Australia,0.4012778499965668,0.39440941999588014,0.3784773039950562,0.3586329147975006,0.35815949775700073,0.37819139730840085
Israel,0.2987365309906006,0.2921398371887207,0.28599180462646484,0.27717363456115723,0.2618083614733887,0.28317003376806643
Costa Rica,0.1854226458072662,0.17151317496871946,0.16070980996246334,0.1499291261476898,0.15131495137722778,0.16377794165267331
Austria,0.28220046434974677,0.27246455721969615,0.2612274686636354,0.2501784980466156,0.2518141976559388,0.26357703718712655
Mexico,0.10801608655977239,0.10147130387172687,0.09829556464607227,0.0937565910155143,0.09870790921861716,0.1000494910623406
United States,0.34307975613021857,0.33148570735626237,0.31562884882751474,0.3002388624627991,0.3020866349553589,0.3185039619464307
Brazil,0.141369978928566,0.1404959747142792,0.13704316965713506,0.13198182465999603,0.13637818959199524,0.13745382751039428
Ireland,0.36669966457176195,0.3482375974861144,0.32795911698333724,0.30797927580824275,0.30817513096989124,0.3318101571638695
Belgium,0.1866806675243378,0.17951680102920536,0.16694016123504643,0.1540275259577179,0.1472330311492615,0.1668796373791138
United Kingdom,0.41289083174324037,0.39164499809188846,0.3696619977102662,0.345039565509079,0.3616474786108948,0.37617697433307373
Venezuela,0.08938592597913741,0.0955811111749649,0.10619733340995789,0.11443287411281204,0.12611944893537444,0.10634333872244935
Singapore,0.2816151962966918,0.2757282355560301,0.2654618826672362,0.24936106290399165,0.24703327548478998,0.26383993058174793
Panama,0.17413938784885402,0.1600992654186248,0.14375911850234976,0.13039955435396572,0.13147946522475884,0.14797535826971062
Germany,0.2717858340091706,0.2697150008110047,0.26275400097320567,0.24805096715867622,0.24306116059041144,0.2590733927084937
Chile,0.2594484842453002,0.24461218109436028,0.23034461731323233,0.21108105653057857,0.2138972678366943,0.23187672140403315
France,0.10853646136188502,0.10557975363426202,0.1023757043611144,0.09689838387145229,0.09667806064574275,0.10201367277489129
Argentina,0.09537141213893902,0.09154369456672681,0.08787443348007218,0.0835579080371476,0.08786948964457712,0.08924338757349254
