Index,Country,Rank (2015),Happiness Score (2015),Family (2015),Health (2015),Freedom (2015),Perceptions of Corruption (2015),Generosity (2015),Rank (2016),Happiness Score (2016),Family (2016),Health (2016),Freedom (2016),Perceptions of Corruption (2016),Generosity (2016),Rank (2017),Happiness Score (2017),Family (2017),Health (2017),Freedom (2017),Perceptions of Corruption (2017),Generosity (2017),Rank (2018),Happiness Score (2018),Family (2018),Health (2018),Freedom (2018),Perceptions of Corruption (2018),Generosity (2018),Rank (2019),Happiness Score (2019),Family (2019),Health (2019),Freedom (2019),Perceptions of Corruption (2019),Generosity (2019),Rank (2022),Happiness Score (2022),Family (2022),Health (2022),Freedom (2022),Perceptions of Corruption (2022),Generosity (2022)
0,Switzerland,1.0,7.587000000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2.0,7.5089999999999995,1.14524,0.86303,0.58557,0.41203,0.28083,4.0,7.49399995803833,1.51691174507141,0.858131289482117,0.620070576667786,0.36700728535652205,0.29054927825927696,5.0,7.487,1.5490000000000002,0.927,0.66,0.35700000000000004,0.256,6.0,7.48,1.526,1.052,0.5720000000000001,0.34299999999999997,0.263,4.0,7.5120000000000005,1.226,0.8220000000000001,0.677,0.461,0.147
1,Iceland,2.0,7.561,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,3.0,7.501,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,3.0,7.50400018692017,1.6105740070343,0.8335521221160892,0.6271626353263849,0.15352655947208402,0.47554022073745705,4.0,7.495,1.6440000000000001,0.914,0.677,0.138,0.353,4.0,7.494,1.624,1.026,0.591,0.11800000000000001,0.354,3.0,7.557,1.32,0.8029999999999999,0.718,0.191,0.27
2,Denmark,3.0,7.527,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,1.0,7.526,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171,2.0,7.52199983596802,1.55112159252167,0.7925655245780941,0.626006722450256,0.40077006816863997,0.3552804887294771,3.0,7.555,1.59,0.868,0.6829999999999999,0.408,0.284,2.0,7.6,1.5730000000000002,0.996,0.5920000000000001,0.41,0.252,2.0,7.636,1.2429999999999999,0.777,0.7190000000000001,0.532,0.188
3,Norway,4.0,7.522,1.33095,0.88521,0.66973,0.36503,0.34699,4.0,7.497999999999999,1.1269,0.79579,0.59609,0.35775999999999997,0.37895,1.0,7.537000179290769,1.53352355957031,0.796666502952576,0.635422587394714,0.31596383452415505,0.36201223731041,2.0,7.593999999999999,1.5819999999999999,0.861,0.6859999999999999,0.34,0.28600000000000003,3.0,7.553999999999999,1.5819999999999999,1.028,0.603,0.341,0.271,8.0,7.365,1.239,0.7859999999999999,0.728,0.474,0.217
4,Canada,5.0,7.4270000000000005,1.32261,0.9056299999999999,0.63297,0.32957,0.45811,6.0,7.404,1.0961,0.8276,0.5737,0.31329,0.44833999999999996,7.0,7.31599998474121,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,7.0,7.327999999999999,1.5319999999999998,0.8959999999999999,0.653,0.29100000000000004,0.321,9.0,7.278,1.505,1.0390000000000001,0.584,0.308,0.285,15.0,7.025,1.188,0.7829999999999999,0.659,0.368,0.217
5,Finland,6.0,7.406000000000001,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,5.0,7.412999999999999,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492,5.0,7.468999862670901,1.5402467250824,0.80915766954422,0.6179508566856379,0.38261154294014,0.24548277258873,1.0,7.632000000000001,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.39299999999999996,0.20199999999999999,1.0,7.769,1.587,0.986,0.596,0.39299999999999996,0.153,1.0,7.821000000000001,1.258,0.775,0.736,0.534,0.109
6,Netherlands,7.0,7.377999999999999,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,7.0,7.3389999999999995,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,6.0,7.3769998550415,1.42893922328949,0.8106961250305179,0.5853844881057739,0.282661825418472,0.47048982977867104,6.0,7.441,1.4880000000000002,0.878,0.638,0.295,0.33299999999999996,5.0,7.4879999999999995,1.5219999999999998,0.9990000000000001,0.557,0.298,0.322,5.0,7.415,1.206,0.787,0.6509999999999999,0.419,0.271
7,Sweden,8.0,7.364,1.2890700000000002,0.9108700000000001,0.6598,0.43843999999999994,0.36262,10.0,7.291,1.08764,0.83121,0.58218,0.40867,0.38254,9.0,7.28399991989136,1.47816216945648,0.830875158309937,0.612924098968506,0.384398728609085,0.38539925217628496,9.0,7.314,1.501,0.9129999999999999,0.659,0.38299999999999995,0.285,7.0,7.343,1.4869999999999999,1.0090000000000001,0.574,0.373,0.267,7.0,7.3839999999999995,1.204,0.8029999999999999,0.7240000000000001,0.512,0.218
8,New Zealand,9.0,7.2860000000000005,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,8.0,7.334,1.17278,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006,8.0,7.31400012969971,1.54819512367249,0.816759705543518,0.6140621304512021,0.38281670212745705,0.500005125999451,8.0,7.324,1.601,0.8759999999999999,0.669,0.389,0.365,8.0,7.307,1.557,1.026,0.585,0.38,0.33,10.0,7.2,1.235,0.752,0.68,0.483,0.245
9,Australia,10.0,7.284,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,9.0,7.313,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,10.0,7.28399991989136,1.5100419521331798,0.84388679265976,0.601607382297516,0.301183730363846,0.47769924998283403,10.0,7.272,1.5730000000000002,0.91,0.647,0.302,0.361,11.0,7.228,1.548,1.036,0.557,0.29,0.332,12.0,7.162000000000001,1.203,0.772,0.6759999999999999,0.341,0.258
