Country,Health (2022 1/2) Proj,Health (2023) Proj,Health (2024) Proj,Health (2025) Proj,Health (2026) Proj,Health (2027) Proj
Switzerland,0.8823182578964234,0.8704959094757081,0.8719890913708497,0.8747606517485963,0.8643127820983155,0.8727753385179786
Iceland,0.8731444244232179,0.8582053093078615,0.8563803711694338,0.8609460209801026,0.850335225176123,0.8598022702113479
Denmark,0.8214491049156187,0.8108109258987426,0.8139651110784911,0.8182450283785705,0.8082940340542846,0.8145528408651416
Norway,0.8249333005905152,0.8128779607086182,0.8162955528503419,0.8202213628298951,0.812065635395874,0.8172787624750489
Canada,0.84935753049469,0.838103036593628,0.8402036439123535,0.8413328422001343,0.8303994106401611,0.8398792927681933
Finland,0.831635533908844,0.8201406406906129,0.8219867688287354,0.8245525886856384,0.8146631064227663,0.8225957277073194
Netherlands,0.8361692250061037,0.8248350700073244,0.8273400840087893,0.8306688758044436,0.8212026509653322,0.8280431811583986
Sweden,0.8577910316619874,0.8471752379943849,0.8503682855932618,0.8542669110499268,0.8425202932599122,0.8504243519118946
New Zealand,0.8368179411087036,0.8225075293304442,0.8208170351965333,0.8216285011271361,0.8107542013525635,0.8225050416230761
Australia,0.8617293585319521,0.8477632302383424,0.8470758762860109,0.8477136930112611,0.8352564316135134,0.8479077179362159
Israel,0.8604887999610901,0.8498125599533081,0.8499410719439696,0.8522484863716736,0.8460981836460084,0.8517178203752099
Costa Rica,0.7884478530845642,0.7740834237014772,0.7766081084417725,0.7800278770455628,0.7726334524546753,0.7783601429456104
Austria,0.8352796838417055,0.8242516206100465,0.8279719447320557,0.8305006498367616,0.818400779804114,0.8272809357649367
Mexico,0.7239697995414733,0.7058757594497681,0.7047649113397217,0.7037220940661927,0.6922665128794312,0.7061198154553174
United States,0.7724153255538939,0.7545403906646728,0.7496484687976073,0.7447208370032348,0.7298650044038817,0.7502380052846581
Brazil,0.6435444705810547,0.6328493646972655,0.6365892376367186,0.6405966145830078,0.6337159374996093,0.6374591249995312
Ireland,0.8349325248489381,0.8228530298187255,0.8245136357824707,0.8274598380900269,0.8177518057080324,0.8255021668496386
Belgium,0.8384703738708497,0.8268304486450196,0.8282785383740234,0.8303158721779784,0.8175790466135743,0.8282948559362892
United Kingdom,0.832535187786102,0.8171562253433227,0.8186054704119871,0.8212593767082824,0.8079112520499387,0.8194935024599266
Venezuela,0.6383408454055786,0.6219050144866942,0.6224780173840332,0.6235447754552611,0.6168537305463134,0.6246244766555761
Singapore,0.9561864789848329,0.9423737747817995,0.9414105297381592,0.9397941567009583,0.92615298804115,0.94118358564938
Panama,0.7358232269210816,0.723665872305298,0.7267290467663574,0.7308436291985474,0.7252123550382569,0.7284548260459084
Germany,0.8285361463508606,0.8158713756210327,0.8160716507452392,0.8194958345434264,0.8111950014521117,0.8182340017425341
Chile,0.8105759407806395,0.8009771289367673,0.797406554724121,0.7929919248883055,0.7899903098659667,0.79838837183916
France,0.8688411703567503,0.8534514044281005,0.8565516853137206,0.8589688520197143,0.8491626224236573,0.8573951469083886
Argentina,0.7170954167060852,0.7030685000473023,0.7042602000567627,0.70608482336203,0.698501788034436,0.7058021456413233
