Country,Perceptions of Corruption (2022 1/2) Proj,Perceptions of Corruption (2023) Proj,Perceptions of Corruption (2024) Proj,Perceptions of Corruption (2025) Proj,Perceptions of Corruption (2026) Proj,Perceptions of Corruption (2027) Proj
Switzerland,0.4033634570713044,0.40008014848556533,0.3976901781826784,0.4038267567479097,0.4131921080974916,0.4036305297169898
Iceland,0.15474531189441681,0.15740437427330017,0.15893524912796023,0.16001698705913545,0.16442038447096252,0.15910446136515505
Denmark,0.45377401363372794,0.4478148163604736,0.44847177963256835,0.458012121925354,0.4680145463104248,0.4552174555725097
Norway,0.370550766904831,0.37165492028579716,0.37443390434295665,0.386127918306717,0.39535350196806035,0.37962420236167244
Canada,0.31784630324554436,0.3155015638946533,0.3159438766735839,0.32165834876275634,0.3277900185153076,0.3197480222183691
Finland,0.4266743085880281,0.4292651703056336,0.43311020436676034,0.4432099366520844,0.4532519239825013,0.4371023087790015
Netherlands,0.32281436508369443,0.32374923810043327,0.3286450857205199,0.3378417377809295,0.34641008533711537,0.3318921024045385
Sweden,0.42530174572181706,0.42267409486618035,0.4254749138394165,0.4336901508854828,0.4438281810625793,0.4301938172750952
New Zealand,0.4206153404254914,0.4188944085105898,0.41886529021270763,0.4260750078297577,0.43349000939570936,0.4235880112748512
Australia,0.32477274607276924,0.318453295287323,0.31748195434478765,0.320741599140976,0.3244899189691711,0.32118790276300546
Israel,0.13307442001199724,0.14411930401439668,0.155487164817276,0.16953617776873398,0.14904341332248078,0.15025209598697695
Costa Rica,0.10288131789922719,0.10229158147907262,0.10165589777488715,0.10196575943063739,0.10215891131676487,0.10219069358011786
Austria,0.23486007308769224,0.24448008770523066,0.25068010524627676,0.25660405320783997,0.2631248638494079,0.24994983661928952
Mexico,0.14788882292175298,0.1348425875061036,0.12510110500732433,0.12356650308703618,0.12927980370444342,0.1321357644453321
United States,0.15064375766849522,0.14899250920219426,0.1490550110426331,0.1517382555826645,0.15548590669919743,0.15118308803903688
Brazil,0.1299925522317886,0.12094906267814631,0.1168068752137756,0.11794969802474212,0.12393963762969054,0.12192756515562864
Ireland,0.319391630662918,0.3258639567955016,0.33152874815460187,0.33815686712260423,0.34458824054712517,0.3319058886565502
Belgium,0.23664462621307378,0.23889355145568852,0.23417626174682624,0.2307428878831177,0.2288914654597413,0.2338697585516895
United Kingdom,0.2542176132507324,0.24092713590087889,0.23431456308105464,0.22809186244653318,0.2573102349358398,0.2429722819230078
Venezuela,0.07844422459220886,0.07199506951065063,0.06978608341278077,0.07084507550312805,0.07461409060375365,0.0731369087245044
Singapore,0.494055557006836,0.4944466684082032,0.49936200208984394,0.5063728455009767,0.516247414601172,0.5020968975214064
Panama,0.0723827847943306,0.06831934175319672,0.06513721010383605,0.06396786733027268,0.06416144079632721,0.06679372895559266
Germany,0.28373438762474057,0.2967952651496887,0.29905231817962646,0.30351639419081117,0.30821967302897335,0.29826360763476806
Chile,0.09109759642124175,0.08357911570549012,0.07739293884658813,0.076413930194664,0.0794967162335968,0.08159605948031616
France,0.19980848565864562,0.1984781827903747,0.20255781934844969,0.208568897559494,0.21508267707139278,0.20489921248567136
Argentina,0.0713079775428772,0.06860157305145265,0.06772988766174318,0.0693278876512146,0.07239346518145753,0.06987215821774903
Uruguay,0.2115163745441436,0.2047036494529723,0.2028563793435668,0.20781528066813654,0.21837833680176386,0.20905400416211659
Colombia,0.053571748370409025,0.05404609804449082,0.05405731765338899,0.05553503281365776,0.05884203937638931,0.05521044725166718
Thailand,0.0293625470483303,0.02886105645799636,0.028967267749595633,0.028438174251184455,0.028325809101421344,0.028790970921705617
Saudi Arabia,0.241150450958252,0.22433254114990242,0.20918304937988288,0.19633320829760745,0.21019984995712893,0.21623981994855476
Spain,0.08385281942605974,0.08782738331127167,0.093118859973526,0.09755981254217147,0.10227177505060576,0.09292613006072693
Malta,0.15449321377754222,0.15821985653305065,0.15475582783966074,0.15509377963005072,0.15771253555606085,0.15605504266727305
El Salvador,0.12157419197845457,0.12233703037414548,0.12557843644897457,0.1326979317603149,0.1428375181123779,0.12900502173485348
Uzbekistan,0.2674236446313858,0.25925637355766296,0.2544416482691955,0.25602433329164886,0.2554291999499786,0.2585150399399744
Slovakia,0.025398170327901842,0.02361580439348221,0.022444965272178652,0.02209178799871254,0.023710145598455048,0.02345217471814606
Japan,0.1804421473169326,0.1804105767803191,0.17852269213638292,0.18147508324672693,0.18777009989607232,0.18172411987528675
South Korea,0.08920253371810913,0.09132904046173099,0.09416284855407717,0.10033888454678346,0.11020666145614015,0.0970479937473682
